company,country,sector,ticker,esg_score_today,esg_score_5yr_ago,esg_cagr_5yr,revenue_usd_b,hires_6mo,hires_prev_6mo,hires_growth,hires_per_m_rev,ai_job_pct,ai_patent_count,ai_earnings_mentions,sentiment_score,sentiment_trend,controversy_flags_12mo,data_source
Sea Limited,Singapore,Technology,SE,44.6,38.0,0.0325,16.8,8200,6400,0.2812,0.488,34,12,11,0.62,Increasing,0,real-anchor (calibrated)
Grab Holdings,Singapore,Technology,GRAB,46.0,39.5,0.0309,2.8,4200,3500,0.2,1.5,30,8,9,0.6,Increasing,1,illustrative (calibrated)
GoTo Group,Indonesia,Technology,GOTO,43.0,36.0,0.0362,1.1,3200,2600,0.2308,2.909,31,5,8,0.55,Increasing,1,illustrative (calibrated)
FPT Corporation,Vietnam,Technology,FPT,50.0,42.0,0.0355,2.2,5200,4200,0.2381,2.364,40,18,13,0.66,Increasing,0,illustrative (calibrated)
Vingroup,Vietnam,Consumer Cyclical,VIC,41.0,36.5,0.0235,5.5,6000,5200,0.1538,1.091,22,9,7,0.52,Increasing,2,illustrative (calibrated)
PLDT,Philippines,Communication Services,TEL,52.3,48.5,0.0152,3.59,470,440,0.0682,0.131,14,4,6,0.55,Increasing,1,real-anchor (calibrated)
DBS Group,Singapore,Financial Services,D05,74.0,66.0,0.0231,20.2,3400,2900,0.1724,0.168,28,22,14,0.68,Increasing,0,illustrative (calibrated)
CapitaLand Invest,Singapore,Real Estate,9CI,78.0,70.0,0.0219,2.1,1600,1350,0.1852,0.762,18,6,6,0.64,Increasing,0,illustrative (calibrated)
CIMB Group,Malaysia,Financial Services,1023.KL,67.8,58.0,0.0317,5.21,1300,1250,0.04,0.25,20,7,8,0.56,Increasing,0,real-anchor (calibrated)
Bank Central Asia,Indonesia,Financial Services,BBCA,71.0,62.0,0.0275,6.8,2600,2200,0.1818,0.382,19,5,7,0.62,Increasing,0,illustrative (calibrated)
Kasikornbank,Thailand,Financial Services,KBANK.BK,70.0,63.0,0.0213,7.2,2100,1950,0.0769,0.292,21,6,9,0.6,Increasing,0,illustrative (calibrated)
Maybank,Malaysia,Financial Services,1155.KL,72.0,65.0,0.0207,6.5,1900,1700,0.1176,0.292,17,4,6,0.58,Increasing,0,illustrative (calibrated)
Siam Cement (SCG),Thailand,Basic Materials,SCC.BK,66.0,60.0,0.0192,15.5,2600,2400,0.0833,0.168,11,9,5,0.58,Increasing,1,illustrative (calibrated)
Astra International,Indonesia,Consumer Cyclical,ASII,63.0,57.0,0.0202,20.0,5000,4400,0.1364,0.25,15,6,5,0.6,Increasing,1,illustrative (calibrated)
Singtel,Singapore,Communication Services,Z74,73.0,74.0,-0.0027,11.5,1800,1900,-0.0526,0.157,14,8,6,0.52,Stable,1,illustrative (calibrated)
Tenaga Nasional,Malaysia,Utilities,5347.KL,68.0,69.0,-0.0029,12.0,2200,2400,-0.0833,0.183,7,3,3,0.48,Decreasing,2,illustrative (calibrated)
Airports of Thailand,Thailand,Industrials,AOT.BK,64.0,66.0,-0.0061,3.2,1200,1300,-0.0769,0.375,8,2,3,0.47,Decreasing,1,illustrative (calibrated)
Telkom Indonesia,Indonesia,Communication Services,TLK,58.4,60.0,-0.0054,2.18,260,290,-0.1034,0.119,12,4,5,0.5,Decreasing,5,real-anchor (calibrated)
PTTEP,Thailand,Energy,PTTEP.BK,55.0,63.0,-0.0268,8.87,700,830,-0.1566,0.079,8,2,4,0.44,Decreasing,3,real-anchor (calibrated)
Genting Singapore,Singapore,Consumer Cyclical,G13,48.0,52.0,-0.0159,1.6,900,1100,-0.1818,0.562,6,1,2,0.42,Decreasing,2,illustrative (calibrated)
Top Glove,Malaysia,Healthcare,7113.KL,45.0,50.0,-0.0209,1.0,800,1400,-0.4286,0.8,5,3,1,0.38,Decreasing,4,illustrative (calibrated)
Golden Agri-Res.,Singapore,Consumer Defensive,E5H,42.0,45.0,-0.0137,9.5,1500,1700,-0.1176,0.158,4,1,1,0.4,Decreasing,3,illustrative (calibrated)
First Resources,Singapore,Consumer Defensive,EB5,47.0,51.0,-0.0162,1.1,650,780,-0.1667,0.591,4,0,1,0.43,Decreasing,2,illustrative (calibrated)
Bumi Resources,Indonesia,Energy,BUMI,39.0,46.0,-0.0325,6.4,900,1150,-0.2174,0.141,3,0,0,0.36,Decreasing,4,illustrative (calibrated)
