company,country,sector,ticker,company_stage,esg_score_today,esg_score_5yr_ago,esg_cagr_5yr,esg_e_today,esg_s_today,esg_g_today,esg_e_cagr,esg_s_cagr,esg_g_cagr,revenue_usd_b,rev_growth_yoy,pe_ratio,pb_ratio,emissions_intensity,emissions_intensity_trend,renewable_pct,renewable_pct_trend,green_capex_pct,green_capex_pct_trend,env_fines_12mo,hires_6mo,hires_prev_6mo,hires_growth,hires_per_m_rev,employee_sentiment_trend,diversity_women_pct,diversity_women_pct_trend,labour_controversy_12mo,board_independence_pct,board_independence_pct_trend,exec_turnover_12mo,insider_sell_ratio,litigation_actions_12mo,ai_job_pct,ai_patent_count,ai_earnings_mentions,sentiment_score,sentiment_trend,controversy_flags_12mo,controversy_flags_e,controversy_flags_s,controversy_flags_g,controversy_intensity_e,controversy_intensity_s,controversy_intensity_g,stated_commitments,claim_articles_12mo,claim_share,say_do_gap,say_do_confidence,claims_source,data_source
Sea Limited,Singapore,Technology,SE,High-Growth/Scaling,44.6,38.0,0.0325,62,40,31.8,0.0134,0.0392,0.0669,16.8,0.28,,4.2,39.2,-0.0188,34,0.74,11,0.54,0,8200,6400,0.2812,0.488,0.353,41,1.02,0,49.1,2.14,0.7,0.269,0,34,12,11,0.62,Increasing,0,0,0,0,0.0,0.0,0.0,6,,,0.005,unverified,hand-coded,real-anchor (calibrated)
Grab Holdings,Singapore,Technology,GRAB,High-Growth/Scaling,46.0,39.5,0.0309,60,42,36,0.0176,0.0371,0.0478,2.8,0.24,,2.4,40.0,-0.0246,28,0.97,14,0.7,0,4200,3500,0.2,1.5,0.334,39,0.97,1,50.6,1.53,1.2,0.349,0,30,8,9,0.6,Increasing,1,0,1,0,0.0,0.2,0.0,8,,,0.158,unverified,hand-coded,illustrative (calibrated)
GoTo Group,Indonesia,Technology,GOTO,High-Growth/Scaling,43.0,36.0,0.0362,58,39,32,0.0221,0.0404,0.0592,1.1,0.19,,1.1,40.8,-0.0309,22,1.21,9,0.88,0,3200,2600,0.2308,2.909,0.363,37,1.05,1,49.2,1.9,0.9,0.301,0,31,5,8,0.55,Increasing,1,0,1,0,0.0,0.2,0.0,7,,,0.06,unverified,hand-coded,illustrative (calibrated)
FPT Corporation,Vietnam,Technology,FPT,High-Growth/Scaling,50.0,42.0,0.0355,61,48,41,0.0247,0.0371,0.0508,2.2,0.21,23.5,4.9,39.6,-0.0345,19,1.36,8,0.99,0,5200,4200,0.2381,2.364,0.334,36,0.97,0,52.4,1.63,1.1,0.337,0,40,18,13,0.66,Increasing,0,0,0,0,0.0,0.0,0.0,5,,,0.0,unverified,hand-coded,illustrative (calibrated)
Vingroup,Vietnam,Consumer Cyclical,VIC,High-Growth/Scaling,41.0,36.5,0.0235,38,44,41,0.0225,0.0244,0.0235,5.5,0.17,,1.3,231.8,-0.0315,26,1.24,21,0.9,1,6000,5200,0.1538,1.091,0.22,33,0.63,0,52.4,0.75,1.8,0.451,1,22,9,7,0.52,Increasing,2,1,0,1,0.2,0.0,0.2,9,,,0.225,unverified,hand-coded,illustrative (calibrated)
PLDT,Philippines,Communication Services,TEL,Mature/Established,52.3,48.5,0.0152,55,52,49.9,0.0113,0.0161,0.0186,3.59,0.04,11.2,3.0,73.5,-0.0158,31,0.62,13,0.45,0,470,440,0.0682,0.131,0.145,44,0.42,0,55.5,0.6,1.9,0.472,1,14,4,6,0.55,Increasing,1,0,0,1,0.0,0.0,0.2,6,,,0.012,unverified,hand-coded,real-anchor (calibrated)
DBS Group,Singapore,Financial Services,D05,Mature/Established,74.0,66.0,0.0231,70,74,78,0.0313,0.0201,0.019,20.2,0.09,9.8,1.8,22.5,-0.0438,58,1.72,26,1.25,0,3400,2900,0.1724,0.168,0.181,52,0.52,0,65.3,0.61,1.9,0.47,0,28,22,14,0.68,Increasing,0,0,0,0,0.0,0.0,0.0,12,,,0.446,unverified,hand-coded,illustrative (calibrated)
CapitaLand Invest,Singapore,Real Estate,9CI,Mature/Established,78.0,70.0,0.0219,82,74,78,0.0235,0.0171,0.0248,2.1,0.06,18.4,0.9,93.6,-0.0329,64,1.29,38,0.94,0,1600,1350,0.1852,0.762,0.153,47,0.44,0,65.3,0.79,1.8,0.446,0,18,6,6,0.64,Increasing,0,0,0,0,0.0,0.0,0.0,14,,,0.472,unverified,hand-coded,illustrative (calibrated)
CIMB Group,Malaysia,Financial Services,1023.KL,Mature/Established,67.8,58.0,0.0317,64,68,71.4,0.0424,0.0253,0.0286,5.21,0.07,9.1,1.0,24.0,-0.0594,41,2.33,19,1.7,0,1300,1250,0.04,0.25,0.228,54,0.66,0,63.0,0.92,1.7,0.43,0,20,7,8,0.56,Increasing,0,0,0,0,0.0,0.0,0.0,10,,,0.242,unverified,hand-coded,real-anchor (calibrated)
Bank Central Asia,Indonesia,Financial Services,BBCA,Mature/Established,71.0,62.0,0.0275,66,71,76,0.0334,0.0275,0.0225,6.8,0.11,21.7,4.4,23.5,-0.0468,33,1.84,15,1.34,0,2600,2200,0.1818,0.382,0.247,49,0.71,0,64.6,0.72,1.8,0.456,0,19,5,7,0.62,Increasing,0,0,0,0,0.0,0.0,0.0,8,,,0.105,unverified,hand-coded,illustrative (calibrated)
